index,key,title,year,venue,type
166,conf/nspw/ParkinMIS10,A stealth approach to usable security: helping IT security managers to identify workable security solutions.,2010,NSPW,Conference and Workshop Papers
167,journals/nca/KantSGTCNK13,"Comparison of multi-objective evolutionary neural network, adaptive neuro-fuzzy inference system and bootstrap-based neural network for flood forecasting.",2013,Neural Comput. Appl.,Journal Articles
168,journals/biodb/MathiasHYZBUO13,The CARLSBAD Database: A Confederated Database of Chemical Bioactivities.,2013,Database J. Biol. Databases Curation,Journal Articles
169,conf/isica/LiLML10,A Concurrent-Hybrid Evolutionary Algorithms with Multi-child Differential Evolution and Guotao Algorithm Based on Cultural Algorithm Framework.,2010,ISICA,Conference and Workshop Papers
170,journals/biodb/StoverPBDC12,Tetrahymena genome database Wiki: a community-maintained model organism database.,2012,Database J. Biol. Databases Curation,Journal Articles
171,journals/tnn/DriesW12,Neural-Fitted TD-Leaf Learning for Playing Othello With Structured Neural Networks.,2012,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
172,conf/miwai/DapaLVP13,"Bat Algorithm, Genetic Algorithm and Shuffled Frog Leaping Algorithm for Designing Machine Layout.",2013,MIWAI,Conference and Workshop Papers
173,journals/nn/MinnettSLH11,Neural network tomography: Network replication from output surface geometry.,2011,Neural Networks,Journal Articles
174,conf/socpros/OjhaN14,Hybridizing Particle Swarm Optimization with Invasive Weed Optimization for Solving Nonlinear Constrained Optimization Problems.,2014,SocProS,Conference and Workshop Papers
175,journals/nn/CarrilloHMPCMM12,Advancing interconnect density for spiking neural network hardware implementations using traffic-aware adaptive network-on-chip routers.,2012,Neural Networks,Journal Articles
176,journals/tnn/XuJ15,Neural Network-Based Finite Horizon Stochastic Optimal Control Design for Nonlinear Networked Control Systems.,2015,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
177,conf/icuimc/MusaSA13a,"Secure security model implementation for security services and related attacks base on end-to-end, application layer and data link layer security.",2013,ICUIMC,Conference and Workshop Papers
178,journals/algorithms/MarschallR11,An Algorithm to Compute the Character Access Count Distribution for Pattern Matching Algorithms.,2011,Algorithms,Journal Articles
179,journals/tnn/ZhaoG11,Dynamic Channel Assignment for Large-Scale Cellular Networks Using Noisy Chaotic Neural Network.,2011,IEEE Trans. Neural Networks,Journal Articles
180,journals/biodb/ZhangYCXMM14,Renal Gene Expression Database (RGED): a relational database of gene expression profiles in kidney disease.,2014,Database J. Biol. Databases Curation,Journal Articles
181,conf/hci/SugiuraSO15,Improving IT Security Through Security Measures: Using Our Game-Theory-Based Model of IT Security Implementation.,2015,HCI,Conference and Workshop Papers
182,journals/nn/HuangCZW11,Impact of noise structure and network topology on tracking speed of neural networks.,2011,Neural Networks,Journal Articles
183,conf/sp/RuhrmairD13,PUFs in Security Protocols: Attack Models and Security Evaluations.,2013,IEEE Symposium on Security and Privacy,Conference and Workshop Papers
184,conf/aaaiss/SilverYL13,Lifelong Machine Learning Systems: Beyond Learning Algorithms.,2013,AAAI Spring Symposium - Lifelong Machine Learning,Conference and Workshop Papers
185,journals/nn/WoodwardFI15,Neural coordination can be enhanced by occasional interruption of normal firing patterns: A self-optimizing spiking neural network model.,2015,Neural Networks,Journal Articles
186,conf/icis/JenkinsDB11,Get a Cue on IS Security Training: Explaining the Difference between how Security Cues and Security Arguments Improve Secure Behavior.,2011,ICIS,Conference and Workshop Papers
187,conf/icitst/AmankwaLK14,"A conceptual analysis of information security education, information security training and information security awareness definitions.",2014,ICITST,Conference and Workshop Papers
188,conf/cec/ChengQWSZ15,Multimodal optimization using particle swarm optimization algorithms: CEC 2015 competition on single objective multi-niche optimization.,2015,CEC,Conference and Workshop Papers
189,journals/tnn/WenZHMY15,Lag Synchronization of Switched Neural Networks via Neural Activation Function and Applications in Image Encryption.,2015,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
190,conf/sp/BecherFHHUW11,Mobile Security Catching Up? Revealing the Nuts and Bolts of the Security of Mobile Devices.,2011,IEEE Symposium on Security and Privacy,Conference and Workshop Papers
