tibetan,transliteration,phonetics
"ཤ་ཏྲུཾ","śatruṃ","shatrum"
"ཀྲོ་?དྷ","krodha",""
"ཀྲོ་?དྡྷ","krodha",""
"ཧྱ་གྷྲྀ་ཝ","hayaghṛva","hayagriva"
"ཧྱ་གྲཱྀ་ཝ","hayagṛīva","hayagriva"
"ཧྱ་གྲཱྀ་བ","hayagṛīva","hayagriva"
"ཧ་ཡ་གྲཱྀ་ཝ་","hayagṛīva","hayagriva"
"རོ་ཥ་ཎ","roṣaṇa","rokana"
"བྷི་ཏི","bhiti",""
"དྷ་ཏུ","dhatu",""
"ཕ་ལ་","phala","pala"
"ཨཱ་ཡུརྤུཎྱ་","ayurpuṇya",""
"ཨུཙུཥྨ","ucuṣma","ucushma"
"ཨི་ཙི་ཀིབྱི","ici kibyi",""
"ཀིབྱི","kibyi",""
"བྷུ་རུ","bhuru",""
"བི་ན་ཡ་ཀ","vinayaka",""
"བི་ན་ཡ","vinaya",""
"ཀྵེ་ཏྲ","kṣétra",""
"སྙིང༌ཁ","nyingkha",""
"རཀྨ","rakma",""
"སཱ་དྷུ་","sādhu",""
"ར་ཏྲི","ratri",""
"གིངྐ་ར","ginkara",""
"ཡཀྴ་","yakśa","yaksha"
"སུ་པྲ","supra",""
"གཙྪ","gacca",""
"གྷཎྜེ་","ghaṇḍé",""
"ཤནྟིཾ་","śhantiṃ",""
"དམ་སྲི་","tamsi",""
"ཨུཏྐཱི་ལ་","utkīla",""
"ཨུཏྐ་","utka",""
"སྥུ་རུ","sphuru",""
"ཨརྠ་","artha",""
"ཁངྒ་","khanga",""
"གཽ་རོ","gauro",""
"ཀན","kan",""
"ཨཱ་?ཡུར","ayur",""
"རསྟུ","rastu",""
"ཨེ་ཨཻ","é ai","é ai"
"ཤྲཱི","śrī","shiri"
"དྷཱིཿ","dhīḥ",""
"ཊུཾ","ṭuṃ","trum"
"ཛཿ","jaḥ","jah"
"ཕཊ","phaṭ","phet"
"ཏྲཊ","traṭ","tret"
"ཀྵ","kṣa","ksha"
"སྥ","spha",""
"ཕཻཾ","phaiṃ",""
"ནིཤྩི་ཏཱ་","niścitā",""
"དྷྲྀཀ","dhṛk",""
"ཛྀཀ","jik",""
"བྲ","bra",""
"བིལྟ","vilta",""
"ཕྲུྃ","phruṃ",""
"ཤྭ","śva",""
"ཨོཾ","oṃ",""
"བཾ","baṃ",""
"ཨཱཿ","āḥ",""
"ཧཱུྃཿ","hūṃ","hung"
"ཧཱུྃ","hūṃ","hung"
"ཧཾ","haṃ","hang"
"ཧྲིཾ","hriṃ",""
"ཧྲཱིཾ","hrīṃ",""
"ཧྲཱིཿ","hrīḥ",""
"ཧྲཱི","hrī",""
"ཧ་ཧ","haha",""
"ཨ་ཝ","ava","awa"
"མཿ","maḥ",""
"དད","dad",""
"སྟྲཻ","strai",""
"ཨསྟ","asta",""
"པྲ","pra",""
"ཨང","ang",""
"ཨཱཾ","āṃ","ang"
"ཨཾ","aṃ","ang"
"ཱིཾ","īṃ","im"
"ིཾ","iṃ","im"
"ཱུཾ","ūṃ","um"
"ུཾ","uṃ","um"
"ེཾ","éṃ","ém"
"ཱོཾ","oṃ","om"
"ོཾ","oṃ","om"
"ཱཾ","āṃ","am"
"ཛྭ","jva",""
"སྟྭ","stva",""
"པྟ","pta",""
"བྷྱ","bhya","ja"
"","bhya","ja"
"ཛྙ","jña","gya"
"ཙྪིནྡྷ་","cindha","chindha"
"ཙྪིནྡ","cinda","chinda"
"རྡེ","rdé",""
"རྡ","rda",""
"ཙ་ལ","cala","chala"
"ཙན་དྷ","canda","chanda"
"ཙནྜ","canḍa","chanda"
"ཙན","can","chan"
"དྷྲྀ","dhṛ","dhri"
"དྲྀ","dṛ","dri"
"ཧྲྀ","hṛ","hri"
"ནྲྀ","nṛ","nri"
"རྀ","ṛ","ri"
"རཱྀ","ṝ","ri"
"ལྀ","ḷ","li"
"ལཱྀ","ḹ","li"
"ཨ་ན","ana",""
"གྷྲ","ghṛa",""
"ཀྲ","kra",""
"ཁྲ","khra",""
"ཏྲ","tra",""
"དྲ","dra",""
"ཤྲ","śr","shra"
"ཥྚ","ṣṭa","shta"
"ཀྵ","kṣa","ksha"
"ཉྩ","nca","ncha"
"དམ","dam",""
"བྷ","bha",""
"དྷ","dha",""
"ཌྷ","ḍha","dhra"
"ཏྷ","tha",""
"ཊྷ","ṭha","thra"
"གྷ","gha",""
"སྠ","sṭha",""
"ལཉྩ","lñca",""
"ཊ","ṭa","tra"
"ཋ","ṭha","thra"
"ཌ","ḍa","dra"
"ཥ","ṣa","sha"
"ཎ","ṇa",""
"མྨ","ma",""
"ཨཱ་ཡུ","āyu",""
"ཨ་ཡུ","ayu",""
"ཧང","hang",""
"ཀ","ka",""
"ཁ","kha",""
"ག","ga",""
"ང","nga",""
"ཅ","ca","cha"
"ཆ","cha",""
"ཇ","cha",""
"ཉ","nya",""
"ཏ","ta",""
"ཐ","tha",""
"ད","da",""
"ན","na",""
"པ","pa",""
"ཕ","pha",""
"བ","va","wa"
"མ","ma",""
"ཙ","ca","cha"
"ཚ","tsa",""
"ཛ","ja",""
"ཝ","va","wa"
"ཞ","zha",""
"ཟ","sa",""
"ཡ","ya",""
"ར","ra",""
"ལ","la",""
"ཤ","śa","sha"
"ས","sa",""
"ཧ","ha",""
"ྱ","ya",""
"ཨཱེ","ē","é"
"ཨེ","é",""
"ཨཱི","ī",""
"ཨི","i",""
"ཨོ","o",""
"ཨཱོ","o",""
"ཨཽ","au",""
"ཨཱུ","ū",""
"ཨུ","u",""
"ཨཱ","ā",""
"ཨ","a",""
"འ","ā","a"
"ཱི","ī","i"
"ི","i",""
"ྀ","","i"
"ཱུ","ū","u"
"ུ","u",""
"ཱེ","ē","é"
"ེ","é",""
"ོ྅","ö","ö"
"ོ","o",""
"ཻ","ai","é"
"ཱ","ā","a"
"ཿ","ḥ",""
"ཾ","aṃ",""
"ྭ","v",""
"྄","",""
